Fringe,fringe
Game Of Thrones,game.of.thrones,game of thrones,gameofthrones
MisFits,mis.fits,mis fits,misfits
American Horror Story, american.horror.story,american_horror_,american horror,americanhorror
Los Soprano,soprano,l.so 
Vampire Diaries, vampire 
The Big Bang Theory, bang, tbbt, bb.theory,tbb,bg bng,TBBT 
The Justified,justified,jstfd
Californication, californication
True Blood, true.blood, true_blood, true blood
Terra Nova, terra.nova, terra nova
Revolution, revolution
Mentalist, mentalist, terra nova
Breaking Bad, breaking bad, breaking.bad, breakingbad
Dexter, dexter
Mad Men, mad men, mad.men
Vikings, vikings
How I Met Your Mother, how.i.met.your, how i met your, howimetyourmother
Walking Dead, walking dead, walking.dead, thewalking
Boardwalk Empire, boardwalk empire, boardwalk.empire, boardwalkempire
A dos metros bajo tierra, a dos metros bajo tierra, bajo tierra
Sons of Anarchy, sons of anarchy, sons.of.anarchy, sonsofanarchy
Falling Skies, falling skies, falling.skies, falski, fllng
Person of Interest, interest
Spartacus, spartacus
Homeland, homeland
Arrow, arrow
Alcatraz, alcatraz
